date_utc,exchange,txid,source,event_type,base_ccy,quote_ccy,side,qty_base,qty_quote,price_quote_per_base,fee,fee_ccy,eur_amount,eur_fee,notes,date,quote_ccy_raw,fee_ccy_raw,quote_ccy_rate,fee_ccy_rate,eur_per_quote,eur_per_fee,base_ccy_raw,base_ccy_rate,eur_per_base
2024-12-31 11:15:00+00:00,binance,c3e7c6db1cdca26e,trades,trade,BTC,USDT,sell,-0.06325,5952.0773675,94103.99,5.95207737,USDT,5729.211056193882,5.7292110586002725,,2024-12-31,USDT,USDT,USDT,USDT,0.96255655,0.96255655,,,
2024-12-31 11:15:00+00:00,binance,1e5d01bc152f9f00,trades,trade,BTC,USDT,sell,-0.0379,3566.3900000000003,94100.0,3.56639,USDT,3432.8520543545,3.4328520543545,,2024-12-31,USDT,USDT,USDT,USDT,0.96255655,0.96255655,,,
2024-12-31 11:15:00+00:00,binance,dd64e4e781b94cdd,trades,trade,BTC,USDT,sell,-0.04,3764.0335999999998,94100.84,3.7640336,USDT,3623.0951961000796,3.62309519610008,,2024-12-31,USDT,USDT,USDT,USDT,0.96255655,0.96255655,,,
2024-12-31 11:15:00+00:00,binance,f9c536d598c95706,trades,trade,BTC,USDT,sell,-0.01677,1578.1239123,94103.99,1.57812391,USDT,1519.0335084959904,1.5190335062821103,,2024-12-31,USDT,USDT,USDT,USDT,0.96255655,0.96255655,,,
2024-12-31 11:15:00+00:00,binance,1edd8b5c03f69ce3,trades,trade,BTC,USDT,sell,-6e-05,5.6461572,94102.62,0.00564616,USDT,5.43474559518966,0.005434748290348,,2024-12-31,USDT,USDT,USDT,USDT,0.96255655,0.96255655,,,
2024-12-31 11:15:00+00:00,binance,2ba5823c0f4df5ef,trades,trade,BTC,USDT,sell,-0.02,1882.0167999999999,94100.84,1.8820168,USDT,1811.5475980500398,1.81154759805004,,2024-12-31,USDT,USDT,USDT,USDT,0.96255655,0.96255655,,,
2024-12-31 11:15:00+00:00,binance,943cb91c57cfaa01,trades,trade,BTC,USDT,sell,-6e-05,5.6462238,94103.73,0.00564622,USDT,5.434809701455889,0.005434806043741,,2024-12-31,USDT,USDT,USDT,USDT,0.96255655,0.96255655,,,
2024-12-31 11:15:00+00:00,binance,7735c02816822d1a,trades,trade,BTC,USDT,sell,-6e-05,5.6462357999999995,94103.93,0.00564624,USDT,5.43482125213449,0.005434825294872,,2024-12-31,USDT,USDT,USDT,USDT,0.96255655,0.96255655,,,
2024-12-31 11:15:00+00:00,binance,78047faa43b3c657,trades,trade,BTC,USDT,sell,-0.26564,24997.7839036,94103.99,24.9977839,USDT,24061.780631894748,24.061780628429545,,2024-12-31,USDT,USDT,USDT,USDT,0.96255655,0.96255655,,,
2024-12-31 11:15:00+00:00,binance,65c61a75c4f3b43d,trades,trade,BTC,USDT,sell,-0.04164,3918.4901436000005,94103.99,3.91849014,USDT,3771.768353832621,3.7717683503674166,,2024-12-31,USDT,USDT,USDT,USDT,0.96255655,0.96255655,,,
