month,account,asset,memo,debit,credit,posting_date,Reference
2024-03,274200 Exchanges EUR,STX,okx Buy STX - cash outflow (cost + fees),0.0,2295.93,2024-03-31,CRYPTO ALL 2024-03
2024-03,274200 Exchanges EUR,SUI,okx Buy SUI - cash outflow (cost + fees),0.0,9197.32,2024-03-31,CRYPTO ALL 2024-03
2024-03,274200 Exchanges EUR,TIA,okx Buy TIA - cash outflow (cost + fees),0.0,14690.14,2024-03-31,CRYPTO ALL 2024-03
2024-03,274200 Exchanges EUR,USDC,okx Buy USDC - cash outflow (cost + fees),0.0,1505.29,2024-03-31,CRYPTO ALL 2024-03
2024-03,274200 Exchanges EUR,XTZ,okx Buy XTZ - cash outflow (cost + fees),0.0,8375.03,2024-03-31,CRYPTO ALL 2024-03
2024-03,631200 Other Costs and Bank Taxes,ATOM,okx Buy ATOM - fees,7.29,0.0,2024-03-31,CRYPTO ALL 2024-03
2024-03,631200 Other Costs and Bank Taxes,AVAX,okx Buy AVAX - fees,3.99,0.0,2024-03-31,CRYPTO ALL 2024-03
2024-03,631200 Other Costs and Bank Taxes,AXS,okx Buy AXS - fees,2.07,0.0,2024-03-31,CRYPTO ALL 2024-03
2024-03,631200 Other Costs and Bank Taxes,BNB,okx Buy BNB - fees,9.7,0.0,2024-03-31,CRYPTO ALL 2024-03
2024-03,631200 Other Costs and Bank Taxes,BONK,okx Buy BONK - fees,9.23,0.0,2024-03-31,CRYPTO ALL 2024-03
2024-03,631200 Other Costs and Bank Taxes,BTC,okx Buy BTC - fees,32.92,0.0,2024-03-31,CRYPTO ALL 2024-03
2024-03,631200 Other Costs and Bank Taxes,CFX,okx Buy CFX - fees,30.0,0.0,2024-03-31,CRYPTO ALL 2024-03
2024-03,631200 Other Costs and Bank Taxes,DOGE,okx Buy DOGE - fees,18.87,0.0,2024-03-31,CRYPTO ALL 2024-03
2024-03,631200 Other Costs and Bank Taxes,ETH,okx Buy ETH - fees,4.11,0.0,2024-03-31,CRYPTO ALL 2024-03
2024-03,631200 Other Costs and Bank Taxes,FET,okx Buy FET - fees,13.22,0.0,2024-03-31,CRYPTO ALL 2024-03
2024-03,631200 Other Costs and Bank Taxes,FRONT,okx Buy FRONT - fees,0.02,0.0,2024-03-31,CRYPTO ALL 2024-03
2024-03,631200 Other Costs and Bank Taxes,FTM,okx Buy FTM - fees,1.08,0.0,2024-03-31,CRYPTO ALL 2024-03
2024-03,631200 Other Costs and Bank Taxes,GRT,okx Buy GRT - fees,26.08,0.0,2024-03-31,CRYPTO ALL 2024-03
2024-03,631200 Other Costs and Bank Taxes,MATIC,okx Buy MATIC - fees,10.84,0.0,2024-03-31,CRYPTO ALL 2024-03
2024-03,631200 Other Costs and Bank Taxes,PEPE,okx Buy PEPE - fees,10.32,0.0,2024-03-31,CRYPTO ALL 2024-03
2024-03,631200 Other Costs and Bank Taxes,SHIB,okx Buy SHIB - fees,5.45,0.0,2024-03-31,CRYPTO ALL 2024-03
2024-03,631200 Other Costs and Bank Taxes,STX,okx Buy STX - fees,1.1,0.0,2024-03-31,CRYPTO ALL 2024-03
2024-03,631200 Other Costs and Bank Taxes,SUI,okx Buy SUI - fees,4.17,0.0,2024-03-31,CRYPTO ALL 2024-03
2024-03,631200 Other Costs and Bank Taxes,TIA,okx Buy TIA - fees,5.89,0.0,2024-03-31,CRYPTO ALL 2024-03
2024-03,631200 Other Costs and Bank Taxes,USDC,okx Buy USDC - fees,0.68,0.0,2024-03-31,CRYPTO ALL 2024-03
2024-03,631200 Other Costs and Bank Taxes,XTZ,okx Buy XTZ - fees,3.22,0.0,2024-03-31,CRYPTO ALL 2024-03
2024-04,262500 Cost of acquisition of crypto assets,BCH,okx Buy BCH - inventory at cost,98761.47,0.0,2024-04-30,CRYPTO ALL 2024-04
2024-04,262500 Cost of acquisition of crypto assets,BTC,okx Buy BTC - inventory at cost,181236.78,0.0,2024-04-30,CRYPTO ALL 2024-04
2024-04,262500 Cost of acquisition of crypto assets,DCR,okx Buy DCR - inventory at cost,9489.01,0.0,2024-04-30,CRYPTO ALL 2024-04
2024-04,262500 Cost of acquisition of crypto assets,ETH,okx Buy ETH - inventory at cost,45620.6,0.0,2024-04-30,CRYPTO ALL 2024-04
2024-04,262500 Cost of acquisition of crypto assets,FET,okx Buy FET - inventory at cost,13464.13,0.0,2024-04-30,CRYPTO ALL 2024-04
2024-04,262500 Cost of acquisition of crypto assets,INJ,okx Buy INJ - inventory at cost,11097.72,0.0,2024-04-30,CRYPTO ALL 2024-04
2024-04,262500 Cost of acquisition of crypto assets,PEPE,okx Buy PEPE - inventory at cost,18727.79,0.0,2024-04-30,CRYPTO ALL 2024-04
2024-04,262500 Cost of acquisition of crypto assets,SOL,okx Buy SOL - inventory at cost,57765.25,0.0,2024-04-30,CRYPTO ALL 2024-04
2024-04,262500 Cost of acquisition of crypto assets,TON,okx Buy TON - inventory at cost,183630.58,0.0,2024-04-30,CRYPTO ALL 2024-04
2024-04,262500 Cost of acquisition of crypto assets,USDC,okx Buy USDC - inventory at cost,10340.51,0.0,2024-04-30,CRYPTO ALL 2024-04
2024-04,274200 Exchanges EUR,BCH,okx Buy BCH - cash outflow (cost + fees),0.0,98805.78,2024-04-30,CRYPTO ALL 2024-04
2024-04,274200 Exchanges EUR,BTC,okx Buy BTC - cash outflow (cost + fees),0.0,181318.27,2024-04-30,CRYPTO ALL 2024-04
2024-04,274200 Exchanges EUR,DCR,okx Buy DCR - cash outflow (cost + fees),0.0,9493.23,2024-04-30,CRYPTO ALL 2024-04
2024-04,274200 Exchanges EUR,ETH,okx Buy ETH - cash outflow (cost + fees),0.0,45639.03,2024-04-30,CRYPTO ALL 2024-04
2024-04,274200 Exchanges EUR,FET,okx Buy FET - cash outflow (cost + fees),0.0,13470.63,2024-04-30,CRYPTO ALL 2024-04
2024-04,274200 Exchanges EUR,INJ,okx Buy INJ - cash outflow (cost + fees),0.0,11102.68,2024-04-30,CRYPTO ALL 2024-04
2024-04,274200 Exchanges EUR,PEPE,okx Buy PEPE - cash outflow (cost + fees),0.0,18736.44,2024-04-30,CRYPTO ALL 2024-04
2024-04,274200 Exchanges EUR,SOL,okx Buy SOL - cash outflow (cost + fees),0.0,57794.86,2024-04-30,CRYPTO ALL 2024-04
2024-04,274200 Exchanges EUR,TON,okx Buy TON - cash outflow (cost + fees),0.0,183723.28,2024-04-30,CRYPTO ALL 2024-04
2024-04,274200 Exchanges EUR,USDC,okx Buy USDC - cash outflow (cost + fees),0.0,10345.29,2024-04-30,CRYPTO ALL 2024-04
2024-04,631200 Other Costs and Bank Taxes,BCH,okx Buy BCH - fees,44.31,0.0,2024-04-30,CRYPTO ALL 2024-04
2024-04,631200 Other Costs and Bank Taxes,BTC,okx Buy BTC - fees,81.48,0.0,2024-04-30,CRYPTO ALL 2024-04
2024-04,631200 Other Costs and Bank Taxes,DCR,okx Buy DCR - fees,4.22,0.0,2024-04-30,CRYPTO ALL 2024-04
2024-04,631200 Other Costs and Bank Taxes,ETH,okx Buy ETH - fees,18.43,0.0,2024-04-30,CRYPTO ALL 2024-04
2024-04,631200 Other Costs and Bank Taxes,FET,okx Buy FET - fees,6.5,0.0,2024-04-30,CRYPTO ALL 2024-04
2024-04,631200 Other Costs and Bank Taxes,INJ,okx Buy INJ - fees,4.97,0.0,2024-04-30,CRYPTO ALL 2024-04
2024-04,631200 Other Costs and Bank Taxes,PEPE,okx Buy PEPE - fees,8.65,0.0,2024-04-30,CRYPTO ALL 2024-04
2024-04,631200 Other Costs and Bank Taxes,SOL,okx Buy SOL - fees,29.61,0.0,2024-04-30,CRYPTO ALL 2024-04
2024-04,631200 Other Costs and Bank Taxes,TON,okx Buy TON - fees,92.7,0.0,2024-04-30,CRYPTO ALL 2024-04
2024-04,631200 Other Costs and Bank Taxes,USDC,okx Buy USDC - fees,4.77,0.0,2024-04-30,CRYPTO ALL 2024-04
2024-05,262500 Cost of acquisition of crypto assets,BCH,okx Buy BCH - inventory at cost,21614.6,0.0,2024-05-31,CRYPTO ALL 2024-05
2024-05,262500 Cost of acquisition of crypto assets,BTC,okx Buy BTC - inventory at cost,11531.91,0.0,2024-05-31,CRYPTO ALL 2024-05
2024-05,262500 Cost of acquisition of crypto assets,ETH,okx Buy ETH - inventory at cost,289872.9,0.0,2024-05-31,CRYPTO ALL 2024-05
2024-05,262500 Cost of acquisition of crypto assets,USDC,okx Buy USDC - inventory at cost,3217.15,0.0,2024-05-31,CRYPTO ALL 2024-05
2024-05,274200 Exchanges EUR,BCH,okx Buy BCH - cash outflow (cost + fees),0.0,21624.72,2024-05-31,CRYPTO ALL 2024-05
2024-05,274200 Exchanges EUR,BTC,okx Buy BTC - cash outflow (cost + fees),0.0,11537.08,2024-05-31,CRYPTO ALL 2024-05
2024-05,274200 Exchanges EUR,ETH,okx Buy ETH - cash outflow (cost + fees),0.0,290009.33,2024-05-31,CRYPTO ALL 2024-05
2024-05,274200 Exchanges EUR,USDC,okx Buy USDC - cash outflow (cost + fees),0.0,3218.76,2024-05-31,CRYPTO ALL 2024-05
2024-05,631200 Other Costs and Bank Taxes,BCH,okx Buy BCH - fees,10.12,0.0,2024-05-31,CRYPTO ALL 2024-05
2024-05,631200 Other Costs and Bank Taxes,BTC,okx Buy BTC - fees,5.16,0.0,2024-05-31,CRYPTO ALL 2024-05
2024-05,631200 Other Costs and Bank Taxes,ETH,okx Buy ETH - fees,136.43,0.0,2024-05-31,CRYPTO ALL 2024-05
2024-05,631200 Other Costs and Bank Taxes,USDC,okx Buy USDC - fees,1.61,0.0,2024-05-31,CRYPTO ALL 2024-05
2024-06,262500 Cost of acquisition of crypto assets,ETH,okx Buy ETH - inventory at cost,13.81,0.0,2024-06-30,CRYPTO ALL 2024-06
2024-06,274200 Exchanges EUR,ETH,okx Buy ETH - cash outflow (cost + fees),0.0,13.82,2024-06-30,CRYPTO ALL 2024-06
2024-06,631200 Other Costs and Bank Taxes,ETH,okx Buy ETH - fees,0.01,0.0,2024-06-30,CRYPTO ALL 2024-06
2024-10,262500 Cost of acquisition of crypto assets,BNB,okx Buy BNB - inventory at cost,9.2,0.0,2024-10-31,CRYPTO ALL 2024-10
2024-10,262500 Cost of acquisition of crypto assets,ETH,okx Buy ETH - inventory at cost,91.56,0.0,2024-10-31,CRYPTO ALL 2024-10
2024-10,262500 Cost of acquisition of crypto assets,USDT,okx Buy USDT - inventory at cost,10.37,0.0,2024-10-31,CRYPTO ALL 2024-10
2024-10,274200 Exchanges EUR,BNB,okx Buy BNB - cash outflow (cost + fees),0.0,9.21,2024-10-31,CRYPTO ALL 2024-10
2024-10,274200 Exchanges EUR,ETH,okx Buy ETH - cash outflow (cost + fees),0.0,91.64,2024-10-31,CRYPTO ALL 2024-10
2024-10,274200 Exchanges EUR,USDT,okx Buy USDT - cash outflow (cost + fees),0.0,10.38,2024-10-31,CRYPTO ALL 2024-10
2024-10,631200 Other Costs and Bank Taxes,BNB,okx Buy BNB - fees,0.01,0.0,2024-10-31,CRYPTO ALL 2024-10
2024-10,631200 Other Costs and Bank Taxes,ETH,okx Buy ETH - fees,0.08,0.0,2024-10-31,CRYPTO ALL 2024-10
2024-10,631200 Other Costs and Bank Taxes,USDT,okx Buy USDT - fees,0.01,0.0,2024-10-31,CRYPTO ALL 2024-10
