month,account,debit,credit,asset,memo,posting_date,Reference
2024-05,262500 Cost of acquisition of crypto assets,0.0,13186.94,PEPE,Relieve cost PEPE,2024-05-31,CRYPTO ALL 2024-05
2024-05,631200 Other Costs and Bank Taxes,6.05,0.0,PEPE,Trading fees PEPE,2024-05-31,CRYPTO ALL 2024-05
2024-05,540100 Other Income,0.0,241.66,PEPE,Realized PnL before fees PEPE,2024-05-31,CRYPTO ALL 2024-05
2024-05,274200 Exchanges EUR,36.73,0.0,TON,Sells proceeds TON,2024-05-31,CRYPTO ALL 2024-05
2024-05,631200 Other Costs and Bank Taxes,0.02,0.0,TON,Trading fees TON,2024-05-31,CRYPTO ALL 2024-05
2024-05,540100 Other Income,0.0,36.75,TON,Realized PnL before fees TON,2024-05-31,CRYPTO ALL 2024-05
2024-10,274200 Exchanges EUR,91915.12,0.0,USDT,Sells proceeds USDT,2024-10-31,CRYPTO ALL 2024-10
2024-10,262500 Cost of acquisition of crypto assets,0.0,94227.86,USDT,Relieve cost USDT,2024-10-31,CRYPTO ALL 2024-10
2024-10,631200 Other Costs and Bank Taxes,82.87,0.0,USDT,Trading fees USDT,2024-10-31,CRYPTO ALL 2024-10
2024-10,540100 Other Income,2229.87,0.0,USDT,Realized PnL before fees USDT,2024-10-31,CRYPTO ALL 2024-10
2024-01,262500 Cost of acquisition of crypto assets,227763.06,0.0,BTC,Buy BTC - inventory at cost,2024-01-31,CRYPTO ALL 2024-01
2024-01,262500 Cost of acquisition of crypto assets,2296.83,0.0,DAI,Buy DAI - inventory at cost,2024-01-31,CRYPTO ALL 2024-01
2024-01,262500 Cost of acquisition of crypto assets,9193.63,0.0,DYDX,Buy DYDX - inventory at cost,2024-01-31,CRYPTO ALL 2024-01
2024-01,262500 Cost of acquisition of crypto assets,190714.07,0.0,ETH,Buy ETH - inventory at cost,2024-01-31,CRYPTO ALL 2024-01
2024-01,262500 Cost of acquisition of crypto assets,4609.22,0.0,PYTH,Buy PYTH - inventory at cost,2024-01-31,CRYPTO ALL 2024-01
2024-01,262500 Cost of acquisition of crypto assets,495.05,0.0,TRX,Buy TRX - inventory at cost,2024-01-31,CRYPTO ALL 2024-01
2024-01,274200 Exchanges EUR,0.0,227871.02,BTC,Buy BTC - cash outflow (cost + fees),2024-01-31,CRYPTO ALL 2024-01
2024-01,274200 Exchanges EUR,0.0,2297.98,DAI,Buy DAI - cash outflow (cost + fees),2024-01-31,CRYPTO ALL 2024-01
2024-01,274200 Exchanges EUR,0.0,9197.77,DYDX,Buy DYDX - cash outflow (cost + fees),2024-01-31,CRYPTO ALL 2024-01
2024-01,274200 Exchanges EUR,0.0,190806.25,ETH,Buy ETH - cash outflow (cost + fees),2024-01-31,CRYPTO ALL 2024-01
2024-01,274200 Exchanges EUR,0.0,4611.53,PYTH,Buy PYTH - cash outflow (cost + fees),2024-01-31,CRYPTO ALL 2024-01
2024-01,274200 Exchanges EUR,0.0,495.26,TRX,Buy TRX - cash outflow (cost + fees),2024-01-31,CRYPTO ALL 2024-01
2024-01,631200 Other Costs and Bank Taxes,107.96,0.0,BTC,Buy BTC - fees,2024-01-31,CRYPTO ALL 2024-01
2024-01,631200 Other Costs and Bank Taxes,1.15,0.0,DAI,Buy DAI - fees,2024-01-31,CRYPTO ALL 2024-01
2024-01,631200 Other Costs and Bank Taxes,4.14,0.0,DYDX,Buy DYDX - fees,2024-01-31,CRYPTO ALL 2024-01
2024-01,631200 Other Costs and Bank Taxes,92.17,0.0,ETH,Buy ETH - fees,2024-01-31,CRYPTO ALL 2024-01
2024-01,631200 Other Costs and Bank Taxes,2.31,0.0,PYTH,Buy PYTH - fees,2024-01-31,CRYPTO ALL 2024-01
2024-01,631200 Other Costs and Bank Taxes,0.22,0.0,TRX,Buy TRX - fees,2024-01-31,CRYPTO ALL 2024-01
2024-02,262500 Cost of acquisition of crypto assets,9291.62,0.0,AVAX,Buy AVAX - inventory at cost,2024-02-29,CRYPTO ALL 2024-02
2024-02,262500 Cost of acquisition of crypto assets,903897.17,0.0,BTC,Buy BTC - inventory at cost,2024-02-29,CRYPTO ALL 2024-02
2024-02,262500 Cost of acquisition of crypto assets,4900.34,0.0,ETH,Buy ETH - inventory at cost,2024-02-29,CRYPTO ALL 2024-02
2024-02,262500 Cost of acquisition of crypto assets,2322.8,0.0,FET,Buy FET - inventory at cost,2024-02-29,CRYPTO ALL 2024-02
2024-02,262500 Cost of acquisition of crypto assets,4656.18,0.0,INJ,Buy INJ - inventory at cost,2024-02-29,CRYPTO ALL 2024-02
2024-02,262500 Cost of acquisition of crypto assets,184.39,0.0,TRX,Buy TRX - inventory at cost,2024-02-29,CRYPTO ALL 2024-02
2024-02,262500 Cost of acquisition of crypto assets,2327.29,0.0,WOO,Buy WOO - inventory at cost,2024-02-29,CRYPTO ALL 2024-02
2024-02,262500 Cost of acquisition of crypto assets,2326.95,0.0,ZETA,Buy ZETA - inventory at cost,2024-02-29,CRYPTO ALL 2024-02
2024-02,274200 Exchanges EUR,0.0,9296.47,AVAX,Buy AVAX - cash outflow (cost + fees),2024-02-29,CRYPTO ALL 2024-02
2024-02,274200 Exchanges EUR,0.0,904328.92,BTC,Buy BTC - cash outflow (cost + fees),2024-02-29,CRYPTO ALL 2024-02
2024-02,274200 Exchanges EUR,0.0,4902.83,ETH,Buy ETH - cash outflow (cost + fees),2024-02-29,CRYPTO ALL 2024-02
2024-02,274200 Exchanges EUR,0.0,2323.91,FET,Buy FET - cash outflow (cost + fees),2024-02-29,CRYPTO ALL 2024-02
2024-02,274200 Exchanges EUR,0.0,4658.4,INJ,Buy INJ - cash outflow (cost + fees),2024-02-29,CRYPTO ALL 2024-02
2024-02,274200 Exchanges EUR,0.0,184.48,TRX,Buy TRX - cash outflow (cost + fees),2024-02-29,CRYPTO ALL 2024-02
2024-02,274200 Exchanges EUR,0.0,2328.46,WOO,Buy WOO - cash outflow (cost + fees),2024-02-29,CRYPTO ALL 2024-02
2024-02,274200 Exchanges EUR,0.0,2328.1,ZETA,Buy ZETA - cash outflow (cost + fees),2024-02-29,CRYPTO ALL 2024-02
2024-02,631200 Other Costs and Bank Taxes,4.85,0.0,AVAX,Buy AVAX - fees,2024-02-29,CRYPTO ALL 2024-02
2024-02,631200 Other Costs and Bank Taxes,431.75,0.0,BTC,Buy BTC - fees,2024-02-29,CRYPTO ALL 2024-02
2024-02,631200 Other Costs and Bank Taxes,2.49,0.0,ETH,Buy ETH - fees,2024-02-29,CRYPTO ALL 2024-02
2024-02,631200 Other Costs and Bank Taxes,1.11,0.0,FET,Buy FET - fees,2024-02-29,CRYPTO ALL 2024-02
2024-02,631200 Other Costs and Bank Taxes,2.22,0.0,INJ,Buy INJ - fees,2024-02-29,CRYPTO ALL 2024-02
2024-02,631200 Other Costs and Bank Taxes,0.09,0.0,TRX,Buy TRX - fees,2024-02-29,CRYPTO ALL 2024-02
2024-02,631200 Other Costs and Bank Taxes,1.17,0.0,WOO,Buy WOO - fees,2024-02-29,CRYPTO ALL 2024-02
2024-02,631200 Other Costs and Bank Taxes,1.15,0.0,ZETA,Buy ZETA - fees,2024-02-29,CRYPTO ALL 2024-02
2024-03,262500 Cost of acquisition of crypto assets,18242.02,0.0,ATOM,Buy ATOM - inventory at cost,2024-03-31,CRYPTO ALL 2024-03
2024-03,262500 Cost of acquisition of crypto assets,9762.88,0.0,AVAX,Buy AVAX - inventory at cost,2024-03-31,CRYPTO ALL 2024-03
2024-03,262500 Cost of acquisition of crypto assets,4579.13,0.0,AXS,Buy AXS - inventory at cost,2024-03-31,CRYPTO ALL 2024-03
2024-03,262500 Cost of acquisition of crypto assets,24234.33,0.0,BNB,Buy BNB - inventory at cost,2024-03-31,CRYPTO ALL 2024-03
2024-03,262500 Cost of acquisition of crypto assets,21100.74,0.0,BONK,Buy BONK - inventory at cost,2024-03-31,CRYPTO ALL 2024-03
2024-03,262500 Cost of acquisition of crypto assets,77072.97,0.0,BTC,Buy BTC - inventory at cost,2024-03-31,CRYPTO ALL 2024-03
2024-03,262500 Cost of acquisition of crypto assets,64520.34,0.0,CFX,Buy CFX - inventory at cost,2024-03-31,CRYPTO ALL 2024-03
2024-03,262500 Cost of acquisition of crypto assets,42923.98,0.0,DOGE,Buy DOGE - inventory at cost,2024-03-31,CRYPTO ALL 2024-03
2024-03,262500 Cost of acquisition of crypto assets,8917.73,0.0,ETH,Buy ETH - inventory at cost,2024-03-31,CRYPTO ALL 2024-03
2024-03,262500 Cost of acquisition of crypto assets,29606.28,0.0,FET,Buy FET - inventory at cost,2024-03-31,CRYPTO ALL 2024-03
2024-03,262500 Cost of acquisition of crypto assets,36.66,0.0,FRONT,Buy FRONT - inventory at cost,2024-03-31,CRYPTO ALL 2024-03
2024-03,262500 Cost of acquisition of crypto assets,2293.62,0.0,FTM,Buy FTM - inventory at cost,2024-03-31,CRYPTO ALL 2024-03
2024-03,262500 Cost of acquisition of crypto assets,64364.83,0.0,GRT,Buy GRT - inventory at cost,2024-03-31,CRYPTO ALL 2024-03
2024-03,262500 Cost of acquisition of crypto assets,27367.3,0.0,MATIC,Buy MATIC - inventory at cost,2024-03-31,CRYPTO ALL 2024-03
2024-03,262500 Cost of acquisition of crypto assets,23531.2,0.0,PEPE,Buy PEPE - inventory at cost,2024-03-31,CRYPTO ALL 2024-03
2024-03,262500 Cost of acquisition of crypto assets,12911.58,0.0,SHIB,Buy SHIB - inventory at cost,2024-03-31,CRYPTO ALL 2024-03
2024-03,262500 Cost of acquisition of crypto assets,2294.84,0.0,STX,Buy STX - inventory at cost,2024-03-31,CRYPTO ALL 2024-03
2024-03,262500 Cost of acquisition of crypto assets,9193.14,0.0,SUI,Buy SUI - inventory at cost,2024-03-31,CRYPTO ALL 2024-03
2024-03,262500 Cost of acquisition of crypto assets,14684.26,0.0,TIA,Buy TIA - inventory at cost,2024-03-31,CRYPTO ALL 2024-03
2024-03,262500 Cost of acquisition of crypto assets,1504.61,0.0,USDC,Buy USDC - inventory at cost,2024-03-31,CRYPTO ALL 2024-03
2024-03,262500 Cost of acquisition of crypto assets,8371.81,0.0,XTZ,Buy XTZ - inventory at cost,2024-03-31,CRYPTO ALL 2024-03
2024-03,274200 Exchanges EUR,0.0,18249.31,ATOM,Buy ATOM - cash outflow (cost + fees),2024-03-31,CRYPTO ALL 2024-03
2024-03,274200 Exchanges EUR,0.0,9766.87,AVAX,Buy AVAX - cash outflow (cost + fees),2024-03-31,CRYPTO ALL 2024-03
2024-03,274200 Exchanges EUR,0.0,4581.2,AXS,Buy AXS - cash outflow (cost + fees),2024-03-31,CRYPTO ALL 2024-03
2024-03,274200 Exchanges EUR,0.0,24244.03,BNB,Buy BNB - cash outflow (cost + fees),2024-03-31,CRYPTO ALL 2024-03
2024-03,274200 Exchanges EUR,0.0,21109.96,BONK,Buy BONK - cash outflow (cost + fees),2024-03-31,CRYPTO ALL 2024-03
2024-03,274200 Exchanges EUR,0.0,77105.89,BTC,Buy BTC - cash outflow (cost + fees),2024-03-31,CRYPTO ALL 2024-03
2024-03,274200 Exchanges EUR,0.0,64550.34,CFX,Buy CFX - cash outflow (cost + fees),2024-03-31,CRYPTO ALL 2024-03
2024-03,274200 Exchanges EUR,0.0,42942.85,DOGE,Buy DOGE - cash outflow (cost + fees),2024-03-31,CRYPTO ALL 2024-03
2024-03,274200 Exchanges EUR,0.0,8921.84,ETH,Buy ETH - cash outflow (cost + fees),2024-03-31,CRYPTO ALL 2024-03
2024-03,274200 Exchanges EUR,0.0,29619.5,FET,Buy FET - cash outflow (cost + fees),2024-03-31,CRYPTO ALL 2024-03
2024-03,274200 Exchanges EUR,0.0,36.68,FRONT,Buy FRONT - cash outflow (cost + fees),2024-03-31,CRYPTO ALL 2024-03
2024-03,274200 Exchanges EUR,0.0,2294.7,FTM,Buy FTM - cash outflow (cost + fees),2024-03-31,CRYPTO ALL 2024-03
2024-03,274200 Exchanges EUR,0.0,64390.91,GRT,Buy GRT - cash outflow (cost + fees),2024-03-31,CRYPTO ALL 2024-03
2024-03,274200 Exchanges EUR,0.0,27378.14,MATIC,Buy MATIC - cash outflow (cost + fees),2024-03-31,CRYPTO ALL 2024-03
2024-03,274200 Exchanges EUR,0.0,23541.52,PEPE,Buy PEPE - cash outflow (cost + fees),2024-03-31,CRYPTO ALL 2024-03
2024-03,274200 Exchanges EUR,0.0,12917.03,SHIB,Buy SHIB - cash outflow (cost + fees),2024-03-31,CRYPTO ALL 2024-03
2024-03,274200 Exchanges EUR,0.0,2295.93,STX,Buy STX - cash outflow (cost + fees),2024-03-31,CRYPTO ALL 2024-03
2024-03,274200 Exchanges EUR,0.0,9197.32,SUI,Buy SUI - cash outflow (cost + fees),2024-03-31,CRYPTO ALL 2024-03
2024-03,274200 Exchanges EUR,0.0,14690.14,TIA,Buy TIA - cash outflow (cost + fees),2024-03-31,CRYPTO ALL 2024-03
2024-03,274200 Exchanges EUR,0.0,1505.29,USDC,Buy USDC - cash outflow (cost + fees),2024-03-31,CRYPTO ALL 2024-03
2024-03,274200 Exchanges EUR,0.0,8375.03,XTZ,Buy XTZ - cash outflow (cost + fees),2024-03-31,CRYPTO ALL 2024-03
2024-03,631200 Other Costs and Bank Taxes,7.29,0.0,ATOM,Buy ATOM - fees,2024-03-31,CRYPTO ALL 2024-03
2024-03,631200 Other Costs and Bank Taxes,3.99,0.0,AVAX,Buy AVAX - fees,2024-03-31,CRYPTO ALL 2024-03
2024-03,631200 Other Costs and Bank Taxes,2.07,0.0,AXS,Buy AXS - fees,2024-03-31,CRYPTO ALL 2024-03
2024-03,631200 Other Costs and Bank Taxes,9.7,0.0,BNB,Buy BNB - fees,2024-03-31,CRYPTO ALL 2024-03
2024-03,631200 Other Costs and Bank Taxes,9.23,0.0,BONK,Buy BONK - fees,2024-03-31,CRYPTO ALL 2024-03
2024-03,631200 Other Costs and Bank Taxes,32.92,0.0,BTC,Buy BTC - fees,2024-03-31,CRYPTO ALL 2024-03
2024-03,631200 Other Costs and Bank Taxes,30.0,0.0,CFX,Buy CFX - fees,2024-03-31,CRYPTO ALL 2024-03
2024-03,631200 Other Costs and Bank Taxes,18.87,0.0,DOGE,Buy DOGE - fees,2024-03-31,CRYPTO ALL 2024-03
2024-03,631200 Other Costs and Bank Taxes,4.11,0.0,ETH,Buy ETH - fees,2024-03-31,CRYPTO ALL 2024-03
2024-03,631200 Other Costs and Bank Taxes,13.22,0.0,FET,Buy FET - fees,2024-03-31,CRYPTO ALL 2024-03
2024-03,631200 Other Costs and Bank Taxes,0.02,0.0,FRONT,Buy FRONT - fees,2024-03-31,CRYPTO ALL 2024-03
2024-03,631200 Other Costs and Bank Taxes,1.08,0.0,FTM,Buy FTM - fees,2024-03-31,CRYPTO ALL 2024-03
2024-03,631200 Other Costs and Bank Taxes,26.08,0.0,GRT,Buy GRT - fees,2024-03-31,CRYPTO ALL 2024-03
2024-03,631200 Other Costs and Bank Taxes,10.84,0.0,MATIC,Buy MATIC - fees,2024-03-31,CRYPTO ALL 2024-03
2024-03,631200 Other Costs and Bank Taxes,10.32,0.0,PEPE,Buy PEPE - fees,2024-03-31,CRYPTO ALL 2024-03
2024-03,631200 Other Costs and Bank Taxes,5.45,0.0,SHIB,Buy SHIB - fees,2024-03-31,CRYPTO ALL 2024-03
2024-03,631200 Other Costs and Bank Taxes,1.1,0.0,STX,Buy STX - fees,2024-03-31,CRYPTO ALL 2024-03
2024-03,631200 Other Costs and Bank Taxes,4.17,0.0,SUI,Buy SUI - fees,2024-03-31,CRYPTO ALL 2024-03
2024-03,631200 Other Costs and Bank Taxes,5.89,0.0,TIA,Buy TIA - fees,2024-03-31,CRYPTO ALL 2024-03
2024-03,631200 Other Costs and Bank Taxes,0.68,0.0,USDC,Buy USDC - fees,2024-03-31,CRYPTO ALL 2024-03
2024-03,631200 Other Costs and Bank Taxes,3.22,0.0,XTZ,Buy XTZ - fees,2024-03-31,CRYPTO ALL 2024-03
2024-04,262500 Cost of acquisition of crypto assets,98761.47,0.0,BCH,Buy BCH - inventory at cost,2024-04-30,CRYPTO ALL 2024-04
2024-04,262500 Cost of acquisition of crypto assets,181236.78,0.0,BTC,Buy BTC - inventory at cost,2024-04-30,CRYPTO ALL 2024-04
2024-04,262500 Cost of acquisition of crypto assets,9489.01,0.0,DCR,Buy DCR - inventory at cost,2024-04-30,CRYPTO ALL 2024-04
2024-04,262500 Cost of acquisition of crypto assets,45620.6,0.0,ETH,Buy ETH - inventory at cost,2024-04-30,CRYPTO ALL 2024-04
2024-04,262500 Cost of acquisition of crypto assets,13464.13,0.0,FET,Buy FET - inventory at cost,2024-04-30,CRYPTO ALL 2024-04
